ID,LATITUDE,LONGITUDE,Dekat_Sekolah,Dekat_Rumah_Sakit,Dekat_Pasar,Dekat_Rumah_Warga,Fasilitas_Umum_Masyarakat,Dilalui_Kendaraan_Umum,Kepadatan_Jalan,Dekat_Penginapan_Kost,Dekat_PT,Dekat_Rumah_Ibadah,Dekat_Stasiun,Dekat_Bandara,Dekat_Terminal,Kota
231,-6.199738,106.886145,0,0,1,1,1,1,3,1,1,1,0,0,0,Jakarta Timur
232,-6.198743,106.884893,1,0,0,1,1,0,1,1,0,1,0,0,0,Jakarta Timur
233,-6.196001,106.886019,1,1,0,0,1,1,2,1,0,1,0,0,0,Jakarta Timur
234,-6.19664,106.889093,0,0,0,1,1,1,3,1,1,0,0,0,0,Jakarta Timur
235,-6.198224,106.889817,0,1,1,1,1,1,2,1,0,1,0,0,1,Jakarta Timur
236,-6.199871,106.890225,1,0,1,1,1,1,3,1,0,1,0,0,1,Jakarta Timur
237,-6.201042,106.89053,0,0,0,1,1,1,2,1,1,1,0,0,0,Jakarta Timur
238,-6.193027,106.882609,1,0,0,1,1,1,3,1,0,1,0,0,0,Jakarta Timur
239,-6.192873,106.881228,1,0,0,1,1,1,3,1,0,1,0,0,0,Jakarta Timur
240,-6.184296,106.907311,0,0,0,0,1,1,2,1,0,1,0,0,0,Jakarta Timur
241,-6.200163,106.88589,1,1,0,0,1,1,3,1,0,1,0,0,0,Jakarta Timur
242,-6.212635,106.89917,1,0,0,0,1,1,2,1,1,1,1,0,0,Jakarta Timur
243,-6.198967,106.89025,1,0,1,0,1,1,2,1,1,1,0,0,0,Jakarta Timur
244,-6.211787,106.884441,0,0,0,1,1,1,2,0,1,1,0,0,0,Jakarta Timur
245,-6.171675,106.888258,1,0,0,0,1,1,2,0,1,1,0,0,0,Jakarta Timur
246,-6.213953,106.878794,1,0,1,1,1,1,2,1,1,1,0,0,0,Jakarta Timur
247,-6.211198,106.878757,1,0,0,1,1,1,2,1,1,0,0,0,0,Jakarta Timur
248,-6.206558,106.888871,1,0,0,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
249,-6.229608,106.911148,0,0,0,1,1,1,3,0,1,1,0,0,0,Jakarta Timur
250,-6.231535,106.91016,1,0,0,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
